time,rev,pot
0,0,701
0,0,697
1,0,696
1,0,694
2,0,694
2,0,693
2,0,692
7,1,670
16,1,244
26,1,244
36,1,242
48,1,240
58,1,238
68,1,237
78,1,233
89,2,231
99,2,227
109,2,225
121,2,221
133,2,219
144,2,218
155,2,218
166,3,218
178,3,218
190,3,218
201,3,218
212,3,218
224,3,218
235,3,218
247,3,218
259,4,219
270,4,219
281,4,219
292,4,219
304,4,219
316,4,219
327,4,219
338,5,218
350,5,218
361,5,217
372,5,217
385,5,216
396,5,214
407,5,213
418,5,210
430,6,209
441,6,210
453,6,209
464,6,208
476,6,210
487,6,210
498,6,210
509,7,210
522,7,210
533,7,210
544,7,210
556,7,210
567,7,210
578,7,210
590,7,210
602,8,210
613,8,210
624,8,210
635,8,210
648,8,210
659,8,210
670,8,210
681,9,210
693,9,210
704,9,209
716,9,209
728,9,209
739,9,209
750,9,209
761,9,209
773,10,209
786,10,209
798,10,210
811,10,210
823,10,210
835,10,209
848,10,210
861,11,210
873,11,209
885,11,210
898,11,210
910,11,209
923,11,210
935,12,210
948,12,211
960,12,210
972,12,211
986,12,211
998,12,211
1010,12,211
1024,13,210
1037,13,210
1051,13,210
1064,13,210
1078,13,210
1091,13,210
1104,14,210
1119,14,210
1132,14,210
1145,14,210
1159,14,210
1172,14,211
1186,15,211
1200,15,211
1213,15,212
1226,15,212
1240,15,214
1254,15,215
1267,16,217
1281,16,218
1294,16,220
1307,16,222
1321,16,223
1335,16,223
1348,16,223
1361,17,223
1375,17,223
1389,17,223
1402,17,223
1416,17,223
1429,17,223
1442,18,223
1457,18,223
1470,18,223
1483,18,223
1497,18,223
1510,18,223
1524,19,223
1538,19,223
1551,19,224
1564,19,223
1579,19,224
1592,19,225
1605,19,225
1618,20,225
1632,20,225
1646,20,225
1659,20,225
1673,20,225
1686,20,225
1699,21,225
1714,21,225
1727,21,225
1740,21,225
1754,21,225
1767,21,225
1781,22,225
1795,22,225
1808,22,225
1821,22,225
1835,22,225
1849,22,225
1862,22,225
1875,23,225
1889,23,225
1902,23,225
1916,23,225
1930,23,225
1943,23,225
1956,24,225
1970,24,225
1984,24,225
1997,24,225
2011,24,225
2024,24,225
2037,24,225
2052,25,225
2065,25,225
2078,25,225
2092,25,225
2105,25,225
2119,25,225
2132,26,225
2146,26,225
2159,26,225
2172,26,225
2187,26,225
2200,26,225
2213,26,225
2227,27,225
2240,27,225
2254,27,225
2268,27,225
2281,27,225
2294,27,225
2308,28,225
2322,28,225
2335,28,225
2349,28,225
2362,28,225
2375,28,225
2390,28,225
2403,29,225
2416,29,225
2429,29,225
2444,29,225
2457,29,225
2470,29,225
2484,30,224
2497,30,225
2511,30,225
2525,30,225
2538,30,225
2551,30,225
2565,30,225
2579,31,225
2592,31,225
2606,31,225
2619,31,225
2632,31,225
2647,31,225
2660,31,225
2673,32,225
2686,32,225
2700,32,225
2714,32,225
2727,32,225
2741,32,225
2754,33,225
2767,33,225
2782,33,225
2795,33,225
2808,33,225
2822,33,225
2835,33,225
2849,34,225
2863,34,226
2876,34,225
2889,34,225
2903,34,225
2917,34,225
2930,34,225
2944,35,225
2957,35,225
2970,35,225
2984,35,225
2998,35,225
3011,35,225
3024,36,225
3038,36,225
3052,36,225
3065,36,225
3079,36,225
3092,36,225
3105,36,225
3120,37,225
3133,37,225
3146,37,225
3160,37,225
3173,37,225
3187,37,225
3201,37,225
3214,38,225
3227,38,225
3240,38,225
3255,38,225
3268,38,225
3281,38,225
3295,39,225
3309,39,225
3322,39,225
3336,39,225
3349,39,225
3362,39,225
3377,39,225
3390,40,225
3403,40,225
3417,40,225
3430,40,225
3444,40,225
3458,40,225
3471,40,225
3484,41,225
3497,41,225
3512,41,225
3525,41,225
3538,41,225
3552,41,225
3565,41,225
3579,42,225
3593,42,225
3606,42,225
3619,42,225
3633,42,225
3647,42,225
3660,42,225
3674,43,225
3687,43,225
3700,43,226
3715,43,225
3728,43,225
3741,43,225
3755,44,225
3768,44,225
3782,44,225
3795,44,225
3809,44,225
